x y z alpha beta gamma
-0.095789 0.880985 0.624469 1.571893 0.000977 -0.007474
-0.100302 0.877418 0.623216 1.568690 0.000190 0.000180
-0.099701 0.879809 0.625849 1.574096 -0.001086 -0.000992
-0.099980 0.880413 0.625338 1.573592 0.001465 -0.000732
-0.097715 0.877958 0.624936 1.572113 -0.000398 -0.004265
-0.099059 0.880008 0.623386 1.569990 -0.002338 -0.001378
-0.100255 0.880323 0.625502 1.573578 0.000053 0.000484
-0.100430 0.877958 0.621461 1.566386 -0.002565 0.000717
-0.097596 0.879486 0.624931 1.572792 0.000276 -0.004580
-0.099189 0.881152 0.626250 1.575154 -0.001913 -0.000747
-0.094416 0.877792 0.625825 1.573444 -0.001851 -0.009690
-0.097129 0.877551 0.624174 1.570588 -0.000656 -0.005294
-0.096985 0.881110 0.624168 1.572029 0.003263 -0.005726
-0.098383 0.878397 0.623203 1.569530 -0.000202 -0.002883
-0.099380 0.879757 0.624218 1.571629 0.001040 -0.001198
-0.097244 0.877364 0.624087 1.570254 -0.002203 -0.004357
-0.098347 0.878417 0.624878 1.571931 -0.001628 -0.002191
-0.098734 0.877122 0.622236 1.567245 0.000624 -0.002150
-0.097772 0.878861 0.626167 1.574909 0.002855 -0.004144
-0.098742 0.879178 0.622993 1.569295 -0.000374 -0.001501
-0.100069 0.879648 0.626148 1.574590 -0.000274 0.000703
-0.099970 0.877920 0.623383 1.569626 0.001342 -0.000346
-0.100121 0.877976 0.623497 1.569817 0.001453 -0.000076
-0.096966 0.878680 0.624147 1.571340 0.001907 -0.005307
-0.097325 0.878830 0.624193 1.571414 0.001880 -0.004838
-0.097519 0.878902 0.624317 1.571548 0.001771 -0.004574
-0.098297 0.880786 0.625203 1.573562 -0.000386 -0.002417
-0.098355 0.880818 0.625303 1.573670 -0.000492 -0.002301
-0.098387 0.880844 0.625392 1.573766 -0.000601 -0.002215
-0.098397 0.880861 0.625484 1.573862 -0.000719 -0.002153
-0.096763 0.879425 0.626209 1.574850 -0.001049 -0.005067
-0.096811 0.878677 0.624822 1.572606 0.002116 -0.005970
-0.096658 0.877267 0.623455 1.569480 -0.000806 -0.005628
-0.095936 0.881037 0.625954 1.574720 -0.000525 -0.006432
-0.101112 0.880209 0.624023 1.571100 0.002154 0.001972
-0.097381 0.879184 0.624137 1.571132 -0.000607 -0.004483
-0.097885 0.877326 0.622046 1.566801 -0.000687 -0.003660
-0.098540 0.878862 0.624000 1.570321 -0.001968 -0.002153
-0.100269 0.881073 0.624922 1.572863 0.002398 0.000462
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
-0.099677 0.882523 0.627144 1.576967 0.000143 -0.000266
-0.097571 0.880643 0.625305 1.573013 -0.002071 -0.003404
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
-0.102091 0.878663 0.619557 1.563005 -0.001055 0.003954
-0.098983 0.881770 0.627501 1.577353 0.001806 -0.001612
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
-0.097013 0.879990 0.624951 1.572707 -0.002733 -0.004254
-0.099229 0.879098 0.623209 1.569806 0.002667 -0.001874
-0.098011 0.878002 0.625031 1.572052 -0.001184 -0.003240
-0.102708 0.882202 0.629717 1.580523 0.000536 0.004152
-0.091892 0.878045 0.628612 1.577714 -0.001336 -0.012766
-0.101887 0.880288 0.619604 1.564543 -0.001033 0.003266
-0.100675 0.880411 0.621626 1.567578 0.000019 0.001379
-0.099707 0.878261 0.621028 1.566295 -0.001784 -0.000108
-0.099256 0.878219 0.623727 1.570306 -0.000049 -0.001225
0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000
-0.097420 0.880365 0.631559 1.582695 0.001719 -0.004401
-0.093994 0.875739 0.620834 1.565328 -0.001171 -0.009606
-0.108624 0.880945 0.622811 1.569864 0.000458 0.012884
-0.101341 0.881823 0.625755 1.574051 -0.000955 0.001815
-0.102827 0.881770 0.623281 1.571201 0.002913 0.003601
-0.093150 0.879776 0.627668 1.576309 -0.003904 -0.009491
-0.092883 0.880364 0.626443 1.574938 -0.000833 -0.010501
-0.107179 0.884751 0.629130 1.579824 0.000916 0.010597
-0.097986 0.881823 0.635530 1.587748 0.003056 -0.003860
-0.095770 0.879608 0.623874 1.570994 0.001125 -0.006774
-0.110341 0.883845 0.634736 1.586788 0.005236 0.013481
-0.100357 0.882109 0.630140 1.580306 -0.000408 0.000125
-0.099947 0.880081 0.634654 1.585928 0.000879 -0.000502
-0.109234 0.882928 0.627283 1.576388 0.001013 0.012161
-0.114450 0.881152 0.617723 1.563138 0.003327 0.019114
-0.103933 0.879786 0.626813 1.574725 0.001722 0.004687
-0.099338 0.879045 0.626820 1.574593 -0.000743 -0.001193
-0.081056 0.882036 0.645883 1.600931 -0.003524 -0.025681
-0.116916 0.879782 0.612958 1.556599 0.001818 0.022425
-0.072812 0.879142 0.625583 1.573235 -0.007489 -0.036195
-0.100493 0.884116 0.645009 1.599469 0.003337 -0.000312
-0.101833 0.882732 0.614842 1.559747 0.001686 0.001483
-0.117594 0.883199 0.623313 1.570845 0.006073 0.021616
-0.106670 0.882173 0.631393 1.581354 0.000960 0.008050
-0.109858 0.881996 0.615807 1.561206 0.001391 0.012103
-0.054249 0.881417 0.633915 1.584444 -0.011993 -0.058804
-0.109832 0.881616 0.645770 1.599182 0.002680 0.011938
-0.108796 0.877445 0.599846 1.539579 -0.001052 0.011063
-0.108384 0.877299 0.599875 1.539560 -0.001237 0.010617
-0.108203 0.877260 0.599801 1.539462 -0.001321 0.010450
-0.108078 0.877227 0.599783 1.539438 -0.001370 0.010358
-0.089261 0.881761 0.622692 1.569660 -0.003191 -0.014383
-0.089134 0.881728 0.622686 1.569637 -0.003276 -0.014489
-0.089065 0.881712 0.622695 1.569630 -0.003362 -0.014532
-0.089026 0.881714 0.622681 1.569600 -0.003443 -0.014542
-0.078490 0.880702 0.622765 1.569542 -0.001780 -0.028774
-0.083807 0.884421 0.655647 1.613013 -0.002358 -0.021874
-0.109132 0.879633 0.631904 1.581011 0.001961 0.011393
