x y z alpha beta gamma
0.083244 0.847750 0.808380 1.747734 -0.022081 -0.224276
0.083185 0.847691 0.808544 1.747981 -0.021844 -0.224108
0.083215 0.847728 0.808441 1.747827 -0.021986 -0.224199
0.083137 0.847755 0.808475 1.747803 -0.022189 -0.224218
0.082772 0.853722 0.800039 1.739752 -0.018707 -0.220107
0.082740 0.853718 0.800080 1.739773 -0.018781 -0.220112
0.082720 0.853717 0.800103 1.739785 -0.018821 -0.220113
0.082709 0.853717 0.800114 1.739791 -0.018842 -0.220112
0.082702 0.853718 0.800120 1.739793 -0.018854 -0.220110
0.081761 0.859628 0.803605 1.741584 -0.021170 -0.216051
0.080694 0.847915 0.805980 1.748432 -0.015731 -0.221589
0.084040 0.854123 0.802068 1.744633 -0.011986 -0.220165
0.081143 0.861700 0.799410 1.739381 -0.015711 -0.213810
0.082181 0.853717 0.802396 1.742819 -0.017735 -0.219549
0.082067 0.855769 0.790485 1.731396 -0.012596 -0.217857
0.078583 0.862229 0.803933 1.743636 -0.018529 -0.211547
0.075548 0.866445 0.807059 1.746068 -0.019010 -0.206634
0.075328 0.863498 0.801739 1.741761 -0.016903 -0.207875
0.083602 0.853449 0.811725 1.753039 -0.017528 -0.220866
0.086114 0.851134 0.796718 1.736288 -0.018504 -0.225277
0.080996 0.852758 0.807607 1.750261 -0.014522 -0.218954
0.082013 0.852301 0.791597 1.731923 -0.015192 -0.220873
0.075872 0.862597 0.800690 1.740394 -0.017108 -0.209161
0.077458 0.859720 0.806736 1.749128 -0.013063 -0.211624
0.078040 0.857061 0.804535 1.745093 -0.018603 -0.214464
0.073982 0.860051 0.805432 1.746322 -0.017231 -0.209078
0.081960 0.853997 0.806606 1.749527 -0.013580 -0.219103
0.086226 0.846265 0.809463 1.752360 -0.015451 -0.227763
0.082488 0.854954 0.806491 1.746729 -0.019858 -0.220010
0.076924 0.863192 0.801357 1.741885 -0.015086 -0.209643
0.076032 0.859391 0.799790 1.738967 -0.019424 -0.211690
0.077777 0.858786 0.794315 1.733429 -0.017951 -0.213855
0.079793 0.853533 0.800603 1.743202 -0.012097 -0.218013
0.085280 0.854634 0.798270 1.738867 -0.014248 -0.222821
0.073527 0.863475 0.803663 1.743926 -0.016593 -0.206728
0.078633 0.853689 0.802687 1.744274 -0.016451 -0.217309
0.078464 0.855407 0.804780 1.746527 -0.016660 -0.216084
0.082372 0.859191 0.790575 1.729695 -0.013816 -0.217961
0.073616 0.864832 0.791267 1.730202 -0.014615 -0.206026
0.080577 0.856307 0.806534 1.748192 -0.015071 -0.217717
0.074275 0.861563 0.803108 1.742958 -0.018431 -0.208645
0.074126 0.861441 0.803499 1.743178 -0.019063 -0.208835
0.083564 0.851901 0.798412 1.739550 -0.014215 -0.223045
0.079387 0.860498 0.794451 1.734485 -0.013456 -0.214352
0.085125 0.855559 0.799930 1.741592 -0.011746 -0.221950
0.079152 0.860295 0.795636 1.735057 -0.015598 -0.214144
0.073465 0.861084 0.803376 1.744509 -0.015131 -0.207867
0.079473 0.856137 0.807032 1.749543 -0.013177 -0.216221
0.084331 0.854932 0.802477 1.742996 -0.015900 -0.222271
0.072513 0.864658 0.791677 1.731198 -0.013596 -0.205017
0.078569 0.859781 0.795540 1.736429 -0.011721 -0.213386
0.078374 0.859604 0.796082 1.736743 -0.012572 -0.213641
0.084096 0.854606 0.801644 1.743954 -0.010856 -0.221217
0.078194 0.859710 0.796628 1.736715 -0.014469 -0.213312
0.078464 0.859608 0.796552 1.736827 -0.013837 -0.213305
0.083619 0.857997 0.791573 1.730326 -0.015184 -0.220137
0.083578 0.858005 0.791595 1.730345 -0.015198 -0.220098
0.083502 0.858070 0.791549 1.730311 -0.015151 -0.219985
0.083459 0.858101 0.791536 1.730307 -0.015117 -0.219917
0.083440 0.858116 0.791526 1.730303 -0.015099 -0.219887
0.083432 0.858127 0.791513 1.730295 -0.015080 -0.219866
0.083428 0.858136 0.791500 1.730287 -0.015059 -0.219851
0.083428 0.858143 0.791486 1.730279 -0.015038 -0.219838
0.083429 0.858150 0.791471 1.730270 -0.015017 -0.219828
0.083430 0.858157 0.791457 1.730261 -0.014996 -0.219818
0.073469 0.859784 0.797579 1.738577 -0.013699 -0.208559
0.079203 0.857897 0.795713 1.736398 -0.013215 -0.215628
0.077450 0.857356 0.802543 1.743768 -0.015881 -0.214347
0.076868 0.860278 0.808140 1.750318 -0.013961 -0.211345
0.079901 0.856506 0.800006 1.739861 -0.018173 -0.217469
0.083268 0.850081 0.800750 1.744092 -0.009235 -0.223155
0.078713 0.858342 0.799557 1.739468 -0.016169 -0.215261
0.079059 0.858494 0.798919 1.739120 -0.015099 -0.215065
0.072773 0.863375 0.793950 1.732580 -0.016785 -0.206779
0.079313 0.858578 0.798481 1.738872 -0.014384 -0.214940
0.079136 0.858776 0.798299 1.738674 -0.014403 -0.214734
0.079144 0.858796 0.798256 1.738650 -0.014330 -0.214703
0.079190 0.858784 0.798232 1.738633 -0.014302 -0.214739
0.079236 0.858774 0.798205 1.738615 -0.014269 -0.214772
0.079278 0.858763 0.798183 1.738601 -0.014234 -0.214800
0.079320 0.858752 0.798161 1.738589 -0.014201 -0.214828
0.079329 0.858757 0.798142 1.738579 -0.014169 -0.214821
0.079332 0.858768 0.798118 1.738564 -0.014134 -0.214805
0.079332 0.858779 0.798097 1.738552 -0.014100 -0.214786
0.079332 0.858790 0.798076 1.738539 -0.014068 -0.214768
0.079331 0.858801 0.798055 1.738527 -0.014035 -0.214749
0.079331 0.858812 0.798034 1.738515 -0.014001 -0.214730
